source_path,source_type,target_path,target_type,relation_type,confidence,current_context,recommendation,reason,risk,suggested_action,responsible_agent,requires_manual_review,status_onda1,reason_onda1,applied_at,backup_path
00 - Mapas/MOC - Codex.md,MOC ou mapa,08 - Codex/Regras do Codex.md,classificação incerta,NAVEGAÇÃO,0.82,Entradas principais,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Codex.md,MOC ou mapa,08 - Codex/Contexto do Trabalho.md,classificação incerta,NAVEGAÇÃO,0.82,Entradas principais,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Codex.md,MOC ou mapa,08 - Codex/Protocolo de Sessão.md,histórico,NAVEGAÇÃO,0.82,Entradas principais,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Codex.md,MOC ou mapa,08 - Codex/Prompt de Inicialização.md,classificação incerta,NAVEGAÇÃO,0.82,Entradas principais,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Codex.md,MOC ou mapa,08 - Codex/Checklist de Segurança.md,classificação incerta,NAVEGAÇÃO,0.82,Entradas principais,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Codex.md,MOC ou mapa,08 - Codex/Checklist de Validação de Base.md,relatório,NAVEGAÇÃO,0.82,Entradas principais,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Codex.md,MOC ou mapa,08 - Codex/Checklist de Backup Local.md,arquivo de apoio,NAVEGAÇÃO,0.82,Entradas principais,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Codex.md,MOC ou mapa,08 - Codex/Status Operacional do Codex.md,classificação incerta,NAVEGAÇÃO,0.82,Entradas principais,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Codex.md,MOC ou mapa,08 - Codex/Skills instaladas.md,classificação incerta,NAVEGAÇÃO,0.82,Entradas principais,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Codex.md,MOC ou mapa,08 - Codex/Regras de Isolamento de Tarefa.md,demanda,NAVEGAÇÃO,0.82,Entradas principais,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Codex.md,MOC ou mapa,00 - Mapas/Painel Operacional - Viny Brain.md,MOC ou mapa,NAVEGAÇÃO,0.82,Entradas principais,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Codex.md,MOC ou mapa,17 - Viny Flow/README.md,processo,NAVEGAÇÃO,0.82,Entradas principais,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Codex.md,MOC ou mapa,14 - Histórico Codex/Modelo de Checkpoint.md,template,NAVEGAÇÃO,0.82,Entradas principais,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Codex.md,MOC ou mapa,14 - Histórico Codex/Checkpoint Atual.md,checkpoint,NAVEGAÇÃO,0.82,Entradas principais,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,03 - Tutoriais/Produção em Lote/Painel Novo/Tutoriais Corretos V2/16 - Como configurar um domínio personalizado no Deploy StayCloud/04 - VALIDAÇÃO FINAL.md,relatório,NAVEGAÇÃO,0.82,Estado atual,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,03 - Tutoriais/Produção em Lote/Painel Novo/Tutoriais Corretos V2/15 - Como publicar uma nova versão pelo Deploy StayCloud/04 - VALIDAÇÃO FINAL.md,relatório,NAVEGAÇÃO,0.82,Estado atual,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,03 - Tutoriais/Fluxo Oficial - Criação e Publicação de Tutorial StayCloud.md,tutorial,NAVEGAÇÃO,0.82,Padrões,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,03 - Tutoriais/Modo Tutorial StayCloud.md,tutorial,NAVEGAÇÃO,0.82,Padrões,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,03 - Tutoriais/Padrão de Prints StayCloud.md,arquivo de apoio,NAVEGAÇÃO,0.82,Padrões,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,03 - Tutoriais/Checklist UI UX - Tutorial StayCloud.md,tutorial,NAVEGAÇÃO,0.82,Padrões,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,03 - Tutoriais/Checklist SEO Rank Math StayCloud.md,classificação incerta,NAVEGAÇÃO,0.82,Padrões,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,03 - Tutoriais/Checklist Final - Revisão antes do WordPress.md,tutorial,NAVEGAÇÃO,0.82,Padrões,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,03 - Tutoriais/Estudos de Padrão StayCloud/Guia de Padrão - Tutoriais StayCloud Painel Novo.md,tutorial,NAVEGAÇÃO,0.82,Padrões,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/02 - Workflows/Criar Tutorial StayCloud.md,workflow,NAVEGAÇÃO,0.82,Workflows,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/02 - Workflows/Revisar Tutorial StayCloud.md,workflow,NAVEGAÇÃO,0.82,Workflows,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/02 - Workflows/Publicar Tutorial StayCloud.md,workflow,NAVEGAÇÃO,0.82,Workflows,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/02 - Workflows/Auditar Contexto.md,workflow,NAVEGAÇÃO,0.82,Workflows,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/02 - Workflows/Auditar Governança do Viny Brain.md,workflow,NAVEGAÇÃO,0.82,Workflows,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,"17 - Viny Flow/02 - Workflows/Auditar Skills, Agents e Workflows.md",workflow,NAVEGAÇÃO,0.82,Workflows,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/02 - Workflows/Quality Gate - Validar Entrega.md,workflow,NAVEGAÇÃO,0.82,Workflows,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/02 - Workflows/Revisão de Segurança.md,workflow,NAVEGAÇÃO,0.82,Workflows,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/02 - Workflows/Extrair Aprendizados da Sessão.md,histórico,NAVEGAÇÃO,0.82,Workflows,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/01 - Agentes/Agente Tutorial StayCloud.md,agente,NAVEGAÇÃO,0.82,Agentes,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/01 - Agentes/Agente Visual e Prints.md,agente,NAVEGAÇÃO,0.82,Agentes,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/01 - Agentes/Agente UI UX Experience.md,agente,NAVEGAÇÃO,0.82,Agentes,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/01 - Agentes/Agente SEO Rank Math.md,agente,NAVEGAÇÃO,0.82,Agentes,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/01 - Agentes/Agente WordPress.md,agente,NAVEGAÇÃO,0.82,Agentes,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/01 - Agentes/Agente Segurança.md,agente,NAVEGAÇÃO,0.82,Agentes,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/01 - Agentes/Agente Auditor.md,agente,NAVEGAÇÃO,0.82,Agentes,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/01 - Agentes/Agente Governança do Viny Brain.md,agente,NAVEGAÇÃO,0.82,Agentes,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/01 - Agentes/Agente Memoria e Checkpoint.md,checkpoint,NAVEGAÇÃO,0.82,Agentes,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,03 - Tutoriais/Produção em Lote/Painel Novo/Fila de Produção - Painel Novo.md,classificação incerta,NAVEGAÇÃO,0.82,Produção,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,03 - Tutoriais/Produção em Lote/Painel Novo/Tutoriais Corretos V2/00 - BACKLOG DE IDEIAS.md,demanda,NAVEGAÇÃO,0.82,Produção,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,03 - Tutoriais/Produção em Lote/Painel Novo/Tutoriais Corretos V2/00 - ÍNDICE DOS TUTORIAIS.md,índice,NAVEGAÇÃO,0.82,Produção,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,03 - Tutoriais/Produção em Lote/Painel Novo/Tutoriais Corretos V2/00 - README - PADRÃO OFICIAL.md,classificação incerta,NAVEGAÇÃO,0.82,Produção,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,03 - Tutoriais/Produção em Lote/Painel Novo/Tutoriais Corretos V2/_VALIDAÇÕES GERAIS/Auditoria de Temas Novos e Duplicações.md,relatório,NAVEGAÇÃO,0.82,Produção,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,03 - Tutoriais/Produção em Lote/Painel Novo/Tutoriais Corretos V2/_VALIDAÇÕES GERAIS/Auditoria de Tutoriais do Deploy.md,relatório,NAVEGAÇÃO,0.82,Produção,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,14 - Histórico Codex/Checkpoint Atual.md,checkpoint,NAVEGAÇÃO,0.82,Gestão,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,14 - Histórico Codex/Sessões/Sessão - Auditoria Geral dos Tutoriais e Obsidian - 2026-07-28.md,histórico,NAVEGAÇÃO,0.82,Gestão,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,06 - Relatórios/Auditoria Geral - Tutoriais StayCloud e Conexões do Obsidian - 2026-07-28.md,relatório,NAVEGAÇÃO,0.82,Gestão,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/03 - Comandos/Comandos Reutilizáveis.md,comando,NAVEGAÇÃO,0.82,Comandos,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/03 - Comandos/Comandos Reutilizáveis.md,comando,REDUNDANTE,0.95,Comandos,sugerir revisão/limpeza,link duplicado dentro da mesma nota,baixo,consolidar link duplicado,Agente Governança do Viny Brain,sim,needs_review,abaixo do limite de confiança automática ou depende de avaliação semântica humana,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Tutoriais StayCloud.md,MOC ou mapa,17 - Viny Flow/03 - Comandos/Comandos Reutilizáveis.md,comando,REDUNDANTE,0.95,Comandos,sugerir revisão/limpeza,link duplicado dentro da mesma nota,baixo,consolidar link duplicado,Agente Governança do Viny Brain,sim,needs_review,abaixo do limite de confiança automática ou depende de avaliação semântica humana,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
